name,wave,ir,tune,body,punch,length,drive,colour,metal,reverb,reverbDecay,width,sub,impact,space,grit,shape,evolve,destroy,clipper,calibration,family,mode
Hammer Hall,2,0,55.309,0.6337,0.8587,273.96,0.4611,0.2815,0.0903,0.0,400.0,1.0,0.7683,0.953,0.0,0.9066,0.709,0.172,0.8602,0.7477,-5.0,HARD,CORE
Main Room Block,2,0,52.868,0.8626,0.8058,358.93,0.5146,0.2872,0.2862,0.0,400.0,1.0,0.9221,0.903,0.0,0.745,0.3839,0.115,0.7329,0.9102,-5.0,HARD,CORE
Guillotine,2,0,51.639,0.6973,0.6083,353.89,0.6174,0.2627,0.1414,0.0,400.0,1.0,0.7592,0.8765,0.0,0.6206,0.4057,0.4295,0.8534,0.9484,-5.0,HARD,CORE
Hard Clean / TIGHT,2,0,59.355999999999995,0.6053999999999999,0.94,209.3904,0.5128,0.4534,0.1476,0.0,400.0,1.0,0.7469,0.9513999999999999,0.0,0.6182000000000001,0.409,0.15180000000000002,0.6775,0.6815,-5.0,HARD,CORE
Peak Control / TIGHT,2,0,52.785,0.7802,0.94,190.0,0.6361,0.4139,0.1456,0.0,400.0,1.0,0.64,0.8004,0.0,0.6259,0.3543,0.4022,0.6241,0.6902,-5.0,HARD,CORE
Flat Top / TIGHT,2,0,50.997,0.7543,0.94,244.49759999999998,0.5169,0.5836,0.193,0.0,400.0,1.0,0.8150000000000001,0.8452,0.0,0.92,0.389,0.4285,0.7579,0.6394,-5.0,HARD,CORE
Redline / TIGHT,2,0,58.995999999999995,0.7673000000000001,0.904,190.0,0.6985,0.6343,0.2731,0.0,400.0,1.0,0.64,0.8016,0.0,0.8387,0.6633,0.35509999999999997,0.8972,0.6684,-5.0,HARD,CORE
Block Maker / TIGHT,2,0,53.114999999999995,0.5644,0.6949,242.8128,0.683,0.46790000000000004,0.2408,0.0,400.0,1.0,0.64,0.8691,0.0,0.8175,0.4753,0.2064,0.5205,0.7188,-5.0,HARD,CORE
Crushed Rail / TIGHT,2,0,51.421,0.8269,0.7323,223.9488,0.82,0.585,0.3089,0.0,400.0,1.0,0.8432000000000001,0.7704,0.0,0.6536000000000001,0.4419,0.2151,0.9074,0.6812,-5.0,HARD,CORE
Clipped Concrete / TIGHT,2,0,50.778,0.6329,0.8221999999999999,190.0,0.5980000000000001,0.5751000000000001,0.085,0.0,400.0,1.0,0.7095,0.9234,0.0,0.8706,0.3717,0.4133,0.7873,0.7812,-5.0,HARD,CORE
Hammer Hall / TIGHT,2,0,56.608999999999995,0.5637000000000001,0.94,197.25119999999998,0.5061,0.3015,0.0903,0.0,400.0,1.0,0.6683,0.97,0.0,0.92,0.759,0.147,0.8602,0.7477,-5.0,HARD,CORE
Main Room Block / TIGHT,2,0,54.168,0.7926,0.9057999999999999,258.4296,0.5596,0.30720000000000003,0.2862,0.0,400.0,1.0,0.8221,0.97,0.0,0.795,0.4339,0.09,0.7329,0.9102,-5.0,HARD,CORE
