index,name,family,bank,technical,residual,peak,rms,crest075_db,safety_hit_pct,dc,w0_30_db,w30_80_db,w80_180_db,w180_400_db,w400_750_db,low80_180_db,low180_400_rel_db,low400_750_rel_db,near_peak90_075_pct,tail_rms_db,tail_mean,decay_drop_db
26,Sub Foundation / HEAVY,ROUND,HEAVY,0,1,0.922571,0.112138,8.86359,0.104167,-1.27385e-06,-5.6874,-4.06443,-6.91847,-9.75497,-14.7923,-14.5688,0.192719,-4.45266,1.35556,-93.0062,-9.56531e-08,43.577
27,Warm Reactor / HEAVY,ROUND,HEAVY,0,1,0.922571,0.116004,8.65385,0.10625,-1.45759e-06,-5.61334,-4.05557,-6.83951,-9.46263,-14.1244,-14.4401,0.42982,-3.60087,1.40833,-81.9015,-2.22457e-07,37.6042
70,Clean Attack / HEAVY,PUNCH,HEAVY,0,1,0.922571,0.0705156,12.6341,0.116667,-1.33708e-06,-5.98817,-4.89227,-10.3284,-21.196,-35.4896,-18.5666,-9.3449,-24.5536,0.930556,-300.0,-4.66104e-21,128.563
79,Concrete Punch / HEAVY,PUNCH,HEAVY,0,1,0.922571,0.0751905,12.0791,0.127083,-2.02238e-06,-5.64931,-5.01748,-9.30775,-18.0639,-28.7259,-17.8158,-7.13235,-18.4778,1.25833,-260.399,-7.47634e-16,132.432
226,Neon Tunnel / HEAVY,RAVE,HEAVY,0,1,0.922571,0.0913764,10.4128,0.125,-7.70434e-07,-6.76155,-4.8637,-7.23848,-12.7143,-18.6775,-14.8778,-3.08071,-10.3793,0.902778,-300.0,4.1467e-34,0.0
227,Acid Hammer / HEAVY,RAVE,HEAVY,0,1,0.922571,0.0952661,10.0648,0.2125,-2.0915e-06,-6.12816,-4.57698,-7.09299,-12.2018,-18.1465,-14.4959,-2.50143,-9.56916,1.35556,-300.0,4.1467e-34,0.0
229,Belgian Basement / HEAVY,RAVE,HEAVY,0,1,0.922571,0.0965328,10.0126,0.1375,-1.78698e-06,-6.71704,-4.80883,-7.00616,-12.0005,-17.0298,-15.1504,-2.44706,-8.74633,1.10556,-300.0,4.1467e-34,0.0
