preset_index,family,preset_name,length_ms,stage67_amp_tau_s
0,ROUND,Clean Weight,414.83064695642884,0.8089197615650362
10,PUNCH,Clean Attack,173.56918475027763,0.1249698130201999
20,HARD,Hard Clean,290.82199337996,0.37806859139394805
30,INDUSTRIAL,Industrial Clean,322.2958360878367,0.5801325049581061
40,RAVE,Rave Foundation,215.46512101570923,0.3124244254727784
