family,preset_index,peak,rms,late_rms,dc,finite,w0_30_db,w30_80_db,w80_180_db,w180_400_db,w650_750_db
0,0,0.922571,0.429343,0.293048,-0.000799416,1,-3.56274,-3.39124,-4.62124,-6.41215,-10.0067
1,10,0.922571,0.23243,0.00302115,-6.01623e-05,1,-2.59997,-3.65274,-8.93088,-18.5448,-47.3917
2,20,0.922571,0.451186,0.289213,-0.00114654,1,-3.32623,-3.37569,-4.17237,-5.63845,-9.6292
3,30,0.922571,0.461727,0.36193,-0.00346196,1,-3.96625,-3.93791,-4.43414,-5.99367,-8.27794
4,40,0.818292,0.298293,0.0878684,0.000138059,1,-4.03904,-4.3427,-6.61481,-9.28456,-19.5349
