family,preset_index,peak,rms,late_rms,dc,finite,w0_30_db,w30_80_db,w80_180_db,w180_400_db,w650_750_db
0,0,0.922571,0.482307,0.333009,-0.00312375,1,-2.52086,-2.58613,-3.74482,-5.35606,-8.89639
1,10,0.922571,0.254048,0.00274034,-0.000267843,1,-1.87418,-2.85973,-8.06153,-18.0549,-48.1793
2,20,0.922571,0.493507,0.321347,-0.00528989,1,-2.41799,-2.50857,-3.44668,-4.98697,-8.71405
3,30,0.922571,0.536076,0.43197,-0.0180664,1,-2.43097,-2.52314,-3.16429,-4.85214,-6.8916
4,40,0.922571,0.334277,0.0976316,0.000153685,1,-2.71677,-3.346,-5.69572,-8.3694,-18.6197
