index,name,family,bank,technical,residual,peak,rms,crest075_db,safety_hit_pct,dc,w0_30_db,w30_80_db,w80_180_db,w180_400_db,w400_750_db,low80_180_db,low180_400_rel_db,low400_750_rel_db,near_peak90_075_pct,tail_rms_db,tail_mean,decay_drop_db
232,Warehouse Rave / SUSTAIN,RAVE,SUSTAIN,1,1,0.922571,0.0940594,10.2232,0.0333333,-1.79887e-07,-7.00943,-4.9088,-7.16912,-12.316,-17.3651,-14.8026,-2.87974,-9.1341,0.866667,-300,5.0858e-22,105.955
233,Red Strobe / SUSTAIN,RAVE,SUSTAIN,1,1,0.922571,0.0862654,10.9681,0.00208333,7.09306e-10,-8.34568,-5.85323,-7.60885,-13.0258,-18.1211,-15.7308,-3.34864,-10.1398,0.219444,-300,5.0858e-22,105.955
234,Rave Saw / SUSTAIN,RAVE,SUSTAIN,1,1,0.922141,0.0850656,11.081,0,-4.43401e-10,-8.30275,-5.70603,-7.88929,-13.3192,-18.1604,-15.7026,-3.675,-10.4062,0.177778,-300,5.0858e-22,105.955
235,Overdrive 1999 / SUSTAIN,RAVE,SUSTAIN,1,1,0.876853,0.0822153,10.9495,0,-9.22511e-10,-9.27031,-6.72173,-7.93006,-13.2652,-17.8996,-16.7015,-3.50661,-9.93142,0.280556,-300,5.0858e-22,105.955
236,Neon Tunnel / SUSTAIN,RAVE,SUSTAIN,1,1,0.922571,0.0909951,10.5083,0.00208333,-3.8545e-09,-7.56877,-5.32092,-7.4105,-12.4832,-17.4636,-15.6148,-3.07501,-9.47618,0.586111,-300,5.0858e-22,105.955
237,Acid Hammer / SUSTAIN,RAVE,SUSTAIN,1,1,0.922571,0.0957266,10.0795,0.04375,-2.06267e-07,-6.70812,-4.81101,-7.22136,-11.9891,-17.0625,-14.9439,-2.76781,-8.91884,0.894444,-300,5.0858e-22,105.955
238,Alarm State / SUSTAIN,RAVE,SUSTAIN,1,1,0.922571,0.092864,10.3562,0.0145833,-3.57707e-08,-8.29184,-5.8781,-7.23332,-11.8359,-16.3442,-16.1964,-3.19485,-8.94324,0.397222,-300,5.0858e-22,105.955
239,Belgian Basement / SUSTAIN,RAVE,SUSTAIN,1,1,0.922571,0.0948488,10.182,0.00625,-1.38477e-08,-7.88199,-5.68388,-7.05136,-11.8427,-16.0402,-16.059,-3.11177,-8.85741,0.669444,-300,5.0858e-22,105.955
240,Rave Foundation / MUTANT,RAVE,MUTANT,1,1,0.917544,0.0824875,11.2249,0,-1.80707e-09,-7.90808,-5.37015,-8.00987,-13.5077,-21.2486,-15.4644,-4.03434,-13.3153,0.294444,-300,1.14574e-36,0
241,Saw Pressure / MUTANT,RAVE,MUTANT,1,1,0.922571,0.0894301,10.5874,0.0125,-6.94754e-08,-7.00577,-4.83787,-7.64428,-12.7634,-18.885,-14.9433,-3.40198,-11.1399,0.736111,-300,1.14574e-36,0
242,Warehouse Rave / MUTANT,RAVE,MUTANT,1,1,0.922571,0.0906932,10.4481,0.00833333,-3.34258e-08,-6.69212,-4.82765,-7.26636,-12.4338,-20.1611,-14.9007,-3.2838,-12.1988,0.938889,-300,1.14574e-36,0
243,Red Strobe / MUTANT,RAVE,MUTANT,1,1,0.920805,0.0839014,11.1083,0,1.23522e-10,-7.95524,-5.70958,-7.61461,-13.158,-20.5492,-15.8382,-3.70287,-12.7767,0.391667,-300,1.14574e-36,0
244,Rave Saw / MUTANT,RAVE,MUTANT,1,1,0.918314,0.0845623,11.0379,0,2.17167e-09,-7.93844,-5.54695,-7.8877,-13.1995,-19.1628,-15.671,-3.9272,-11.3047,0.288889,-300,1.14574e-36,0
245,Overdrive 1999 / MUTANT,RAVE,MUTANT,1,1,0.910264,0.0834463,11.0833,0,4.58946e-09,-8.67746,-6.115,-7.82553,-13.0796,-18.6271,-16.5229,-3.52535,-10.7077,0.205556,-300,1.14574e-36,0
246,Neon Tunnel / MUTANT,RAVE,MUTANT,1,1,0.922571,0.0866342,10.8458,0.00416667,-2.92937e-09,-7.26905,-5.27867,-7.33592,-12.9054,-21.7355,-15.5939,-3.74975,-13.805,0.655556,-300,1.14574e-36,0
247,Acid Hammer / MUTANT,RAVE,MUTANT,1,1,0.922571,0.0921275,10.3118,0.05,-1.3894e-07,-6.36837,-4.68453,-7.29642,-12.1076,-20.2434,-14.9659,-3.24825,-12.2613,1.04167,-300,1.14574e-36,0
248,Alarm State / MUTANT,RAVE,MUTANT,1,1,0.922571,0.0894624,10.5679,0.0104167,-1.79486e-08,-7.86897,-5.4193,-7.26495,-12.1406,-18.8663,-16.2339,-3.27492,-11.389,0.661111,-300,1.14574e-36,0
249,Belgian Basement / MUTANT,RAVE,MUTANT,1,1,0.922571,0.0908845,10.4321,0.00208333,-2.2399e-09,-7.62613,-5.36815,-7.22444,-11.9475,-18.3784,-16.1362,-3.50104,-11.1522,0.791667,-300,1.14574e-36,0
