family,preset_index,peak,rms,late_rms,dc,finite,w0_30_db,w30_80_db,w80_180_db,w180_400_db,w650_750_db
0,0,0.922571,0.411066,0.167284,-0.00243995,1,-2.22815,-2.4372,-3.74796,-6.40554,-14.2167
1,10,0.922571,0.308113,0.0167867,-0.00126903,1,-1.67869,-2.25341,-5.3077,-11.958,-32.9412
2,20,0.922571,0.519933,0.296859,-0.0104806,1,-1.73274,-1.85235,-2.76571,-4.31306,-9.02699
3,30,0.922571,0.487353,0.253491,-0.0151353,1,-2.0371,-2.2085,-2.85972,-4.88381,-10.4706
4,40,0.922571,0.316899,0.0421596,3.56641e-05,1,-2.4172,-2.99129,-5.50879,-9.42513,-25.3341
