display_name,family,wave,mode,tune,body,punch,length,drive,colour,metal,sub,impact,grit,shape,evolve,destroy,clipper,reverb,reverbDecay,width,space,calibration
Sub Foundation / HEAVY,ROUND,0,HEAVY,47.006,0.98,0.3149,359.12119999999993,0.36250000000000004,0.2707,0.0193,0.9651000000000001,0.42410000000000003,0.2742,0.1303,0.0828,0.0781,0.24459999999999998,0.0,400.0,1.0,0.0,-5.0
Warm Reactor / HEAVY,ROUND,0,HEAVY,45.903,0.98,0.40440000000000004,415.2066,0.43069999999999997,0.34709999999999996,0.0429,0.9611000000000001,0.5285,0.30629999999999996,0.3578,0.21159999999999998,0.1858,0.0722,0.0,400.0,1.0,0.0,-5.0
Black Drum / HEAVY,ROUND,0,HEAVY,52.299,0.8974,0.6608999999999999,554.4702,0.4196,0.0917,0.1723,0.8967,0.6616,0.2797,0.4474,0.08030000000000001,0.1127,0.24969999999999998,0.0,400.0,1.0,0.0,-5.0
Sub Vault / HEAVY,ROUND,0,HEAVY,50.915,0.8579,0.6653,438.18119999999993,0.46730000000000005,0.3913,0.1611,0.9842,0.5912999999999999,0.125,0.2379,0.059199999999999996,0.0589,0.0626,0.0,400.0,1.0,0.0,-5.0
Clean Weight / SUSTAIN,ROUND,0,SUSTAIN,48.509,0.77,0.49300000000000005,560.0,0.1746,0.2102,0.1304,0.8692000000000001,0.6053,0.1063,0.42529999999999996,0.1401,0.1814,0.027999999999999997,0.0,400.0,1.0,0.0,-5.0
Club Anchor / SUSTAIN,ROUND,0,SUSTAIN,48.018,0.6836000000000001,0.36560000000000004,560.0,0.4646,0.24719999999999998,0.1809,0.9057000000000001,0.6326999999999999,0.2757,0.41669999999999996,0.3704,0.039,0.0245,0.0,400.0,1.0,0.0,-5.0
Deep Concrete / SUSTAIN,ROUND,0,SUSTAIN,48.281,0.7864000000000001,0.5299999999999999,560.0,0.2476,0.4604,0.0445,0.8613000000000001,0.7143999999999999,0.0837,0.3434,0.3737,0.1228,0.10690000000000001,0.0,400.0,1.0,0.0,-5.0
Round Hammer / SUSTAIN,ROUND,0,SUSTAIN,51.901,0.7536,0.5838,492.9912,0.2992,0.4051,0.12290000000000001,0.7016,0.6673,0.12919999999999998,0.2789,0.1725,0.1482,0.1056,0.0,400.0,1.0,0.0,-5.0
Dark Pulse / SUSTAIN,ROUND,0,SUSTAIN,50.37,0.7396,0.6356999999999999,560.0,0.3945,0.32689999999999997,0.19369999999999998,0.8551000000000001,0.5340999999999999,0.1874,0.2736,0.44,0.2247,0.189,0.0,400.0,1.0,0.0,-5.0
Tight Basement / SUSTAIN,ROUND,0,SUSTAIN,52.784,0.8726,0.5138999999999999,510.94499999999994,0.4205,0.15660000000000002,0.08549999999999999,0.7203,0.4087,0.0959,0.3313,0.404,0.146,0.2546,0.0,400.0,1.0,0.0,-5.0
Sub Foundation / SUSTAIN,ROUND,0,SUSTAIN,49.356,0.98,0.3249,419.9891999999999,0.3275,0.3457,0.044300000000000006,0.8151,0.41910000000000003,0.24919999999999998,0.1403,0.1578,0.0781,0.21459999999999999,0.0,400.0,1.0,0.0,-5.0
Warm Reactor / SUSTAIN,ROUND,0,SUSTAIN,48.253,0.9587,0.41440000000000005,485.58059999999995,0.3957,0.4221,0.0679,0.8111,0.5235,0.2813,0.36779999999999996,0.28659999999999997,0.1858,0.0422,0.0,400.0,1.0,0.0,-5.0
Black Drum / SUSTAIN,ROUND,0,SUSTAIN,54.649,0.8524,0.6708999999999999,560.0,0.3846,0.16670000000000001,0.1973,0.7467,0.6566,0.2547,0.4574,0.1553,0.1127,0.21969999999999998,0.0,400.0,1.0,0.0,-5.0
Sub Vault / SUSTAIN,ROUND,0,SUSTAIN,53.265,0.8129000000000001,0.6753,512.4491999999999,0.4323,0.4663,0.1861,0.8342,0.5862999999999999,0.1,0.2479,0.13419999999999999,0.0589,0.0326,0.0,400.0,1.0,0.0,-5.0
Clean Weight / MUTANT,ROUND,0,MUTANT,48.509,0.6699999999999999,0.5780000000000001,381.6436,0.2746,0.2702,0.1954,0.8192,0.6953,0.19130000000000003,0.48,0.1651,0.2714,0.128,0.0,400.0,1.0,0.0,-5.0
Club Anchor / MUTANT,ROUND,0,MUTANT,48.018,0.5836,0.4506,381.04560000000004,0.5,0.3072,0.22,0.8557,0.7227,0.32,0.4767,0.3954,0.129,0.1245,0.0,400.0,1.0,0.0,-5.0
Deep Concrete / MUTANT,ROUND,0,MUTANT,48.281,0.6864,0.615,376.4088,0.3476,0.48,0.1095,0.8113,0.8044,0.16870000000000002,0.4034,0.39869999999999994,0.2128,0.2069,0.0,400.0,1.0,0.0,-5.0
Round Hammer / MUTANT,ROUND,0,MUTANT,51.901,0.6536,0.6688000000000001,328.6608,0.3992,0.4651,0.1879,0.68,0.7573000000000001,0.2142,0.3389,0.1975,0.2382,0.2056,0.0,400.0,1.0,0.0,-5.0
Dark Pulse / MUTANT,ROUND,0,MUTANT,50.37,0.6396,0.7207,395.3792,0.49450000000000005,0.38689999999999997,0.22,0.8051,0.6241,0.2724,0.3336,0.44,0.28,0.28900000000000003,0.0,400.0,1.0,0.0,-5.0
