family,bank_a,bank_b,centroid_distance,within_scatter,effect_ratio
ROUND,CORE,TIGHT,1.709639284761637,0.6465953791827779,2.6440635671102077
ROUND,CORE,HEAVY,0.6384320573662314,0.52153366385341,1.2241435244043124
ROUND,CORE,SUSTAIN,0.3265863297106873,0.5592304781221616,0.5839923653781293
ROUND,CORE,MUTANT,0.818723343653223,0.564705716649174,1.4498230131436916
ROUND,TIGHT,HEAVY,2.323569275485022,0.6072955994079066,3.8260927260902275
ROUND,TIGHT,SUSTAIN,1.6908208346162785,0.6399603973595464,2.6420710431300165
ROUND,TIGHT,MUTANT,0.9534376215649375,0.6447504392740684,1.4787700224554243
ROUND,HEAVY,SUSTAIN,0.8188099122632463,0.513284607542862,1.5952356650267876
ROUND,HEAVY,MUTANT,1.4476814490813203,0.5192445542284921,2.7880532155595494
ROUND,SUSTAIN,MUTANT,0.7492866450303914,0.5570962863135289,1.3449858910158925
PUNCH,CORE,TIGHT,1.3923290584820176,0.6631260118504233,2.0996447637375684
PUNCH,CORE,HEAVY,0.6566571439324589,0.587124800291303,1.118428558298915
PUNCH,CORE,SUSTAIN,0.7097556989488355,0.6172907505578595,1.1497915663020442
PUNCH,CORE,MUTANT,0.7169166959685452,0.6456699082211977,1.1103455292542903
PUNCH,TIGHT,HEAVY,2.043510973217777,0.609622508648458,3.352092391970432
PUNCH,TIGHT,SUSTAIN,1.904489483154813,0.6387268137928941,2.9816964655712077
PUNCH,TIGHT,MUTANT,0.7751461402116532,0.6661934421143056,1.1635451375060066
PUNCH,HEAVY,SUSTAIN,0.6657735265049762,0.5594205628884917,1.1901127178203021
PUNCH,HEAVY,MUTANT,1.3562784160336934,0.5905871026703524,2.2964917620092864
PUNCH,SUSTAIN,MUTANT,1.137617363445342,0.6205847770029043,1.8331377204216934
HARD,CORE,TIGHT,0.8296321240988473,0.8718640980924973,0.9515612879495802
HARD,CORE,HEAVY,0.40890713215557273,0.8075188183592111,0.5063747405737496
HARD,CORE,SUSTAIN,0.7316804168261302,0.8646913176987858,0.8461752787948821
HARD,CORE,MUTANT,0.464841654002125,0.8304368628748703,0.5597555633457078
HARD,TIGHT,HEAVY,1.1301495976876044,0.8491920224048095,1.3308528199379759
HARD,TIGHT,SUSTAIN,1.2795740141967002,0.9037319977821835,1.4158777351421012
HARD,TIGHT,MUTANT,0.733901460202885,0.8710142548392478,0.8425826054218706
HARD,HEAVY,SUSTAIN,0.9143248122586165,0.8418260867168404,1.0861207875173342
HARD,HEAVY,MUTANT,0.7994752510378973,0.8066011831102051,0.9911654827410222
HARD,SUSTAIN,MUTANT,0.5795335447015163,0.8638344178684876,0.6708849898929069
INDUSTRIAL,CORE,TIGHT,0.6615453991419679,0.9281825956850062,0.7127319583632458
INDUSTRIAL,CORE,HEAVY,0.27397940679702343,0.9220881443635259,0.2971293020862354
INDUSTRIAL,CORE,SUSTAIN,0.39084868549806767,0.9502687046394477,0.41130333303563094
INDUSTRIAL,CORE,MUTANT,0.3628450279534433,0.9641191915115142,0.3763487244603134
INDUSTRIAL,TIGHT,HEAVY,0.8184948001929294,0.8909913888953135,0.9186337942129982
INDUSTRIAL,TIGHT,SUSTAIN,0.8552631898480253,0.920124839425044,0.9295077724252307
INDUSTRIAL,TIGHT,MUTANT,0.5510448424317705,0.9344222410402295,0.5897171730605851
INDUSTRIAL,HEAVY,SUSTAIN,0.591865713338113,0.9139766600795548,0.6475720214627231
INDUSTRIAL,HEAVY,MUTANT,0.5894086049505667,0.9283687519482008,0.6348863032206177
INDUSTRIAL,SUSTAIN,MUTANT,0.3544083061946134,0.9563642635707501,0.3705787843546125
RAVE,CORE,TIGHT,0.9226262231263332,0.854431471241695,1.0798130150618808
RAVE,CORE,HEAVY,0.4321177221539295,0.7861209682820081,0.5496834960371706
RAVE,CORE,SUSTAIN,0.5409378529320409,0.8832168365273159,0.612463248615504
RAVE,CORE,MUTANT,0.5424626727864156,0.832923709554333,0.6512753407824304
RAVE,TIGHT,HEAVY,1.335320501303544,0.7990910955292655,1.671049156689006
RAVE,TIGHT,SUSTAIN,1.3221856108255858,0.8947806337347938,1.4776645369550925
RAVE,TIGHT,MUTANT,0.49135332055295655,0.845175903655133,0.581362197416442
RAVE,HEAVY,SUSTAIN,0.5661554790319779,0.8297984214441682,0.6822807375868076
RAVE,HEAVY,MUTANT,0.9708113556376401,0.7760511232152588,1.2509631473944898
RAVE,SUSTAIN,MUTANT,0.8735698115737713,0.8742660632761301,0.9992036157725843
